"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","threshold"
"USP39",6.58316137286894e-08,0.562400832026299,0.274,0.231,0.00322462993527239,"ns"
"AC074391.1",6.58452843877811e-08,0.493556164046218,0.316,0.27,0.00322529956516668,"ns"
"SLC9B2",6.59073205209369e-08,-0.616612561387156,0.036,0.069,0.00322833828107705,"ns"
"SH3GL2",6.83392528296456e-08,-0.539222174494417,0.053,0.091,0.00334746162135453,"ns"
"GOLGA8B",6.97656460233434e-08,-0.427583637817719,0.111,0.162,0.00341733063916143,"ns"
"OFD1P17",7.1494935114467e-08,-1.01131698977277,0.018,0.042,0.00350203640671194,"down"
"ACAD11",7.22798274303362e-08,-4.83011073997778,0.001,0.014,0.00354048278702016,"down"
"GABARAP",7.37904689728558e-08,-1.80121235197079,0.009,0.029,0.0036144785416974,"down"
"MGEA5",7.52933255670687e-08,0.592079363387278,0.272,0.232,0.00368809296625173,"ns"
"ZHX3",7.54067618503986e-08,0.305453355936216,0.51,0.481,0.00369364941571807,"ns"
"HDLBP",7.78221626356961e-08,-0.499257730015315,0.083,0.128,0.0038119629923843,"ns"
"H3F3B",7.98765675376097e-08,-0.280710349192369,0.142,0.2,0.00391259390769474,"ns"
"MAN2C1",8.11791803234226e-08,-2.65849346746082,0.002,0.016,0.00397639978978221,"down"
"TVP23C",8.16445812147776e-08,-5.23065097070919,0,0.012,0.00399919652164345,"down"
"DLGAP1",8.16635269690957e-08,-0.213240840779358,0.247,0.321,0.00400012454152722,"ns"
"NEAT1",8.17460720680894e-08,-0.324646551391587,0.801,0.799,0.00400416784811122,"ns"
"FOSL2",8.31950397273376e-08,-0.949583291916066,0.021,0.047,0.00407514263096418,"ns"
"AEBP1",8.32813725535053e-08,-0.791880208433275,0.074,0.114,0.00407937147178835,"ns"
"CCDC65",8.36541919951019e-08,-0.796688304931924,0.036,0.067,0.00409763328649607,"ns"
"COX7A2",8.55238360422337e-08,-0.66248722305956,0.075,0.117,0.00418921406085673,"ns"
"UBAC2",8.95731196941963e-08,-0.269736313448043,0.134,0.191,0.00438756012198082,"ns"
"ANK3",9.04803289509905e-08,-0.394178538899821,0.089,0.135,0.00443199795300637,"ns"
"RPLP0",9.06295793081404e-08,-1.1143705182076,0.023,0.05,0.00443930868325064,"down"
"IFI6",9.08432746559367e-08,-0.722880026308111,0.015,0.039,0.00444977612247175,"ns"
"LEPROT",9.29294678420499e-08,-7.94039495474885,0,0.011,0.00455196412330713,"down"
"CDK11A",9.29294678420499e-08,-7.80338267844679,0,0.011,0.00455196412330713,"down"
"AC115622.1",9.29294678420499e-08,-8.24159340440626,0,0.011,0.00455196412330713,"down"
"SRP19",9.29294678420499e-08,-7.97469459901598,0,0.011,0.00455196412330713,"down"
"RAB30-DT",9.29294678420499e-08,-7.88366389673855,0,0.011,0.00455196412330713,"down"
"STUB1",9.29294678420499e-08,-7.80106214619933,0,0.011,0.00455196412330713,"down"
"PLPPR2",9.29294678420499e-08,-7.96420561730749,0,0.011,0.00455196412330713,"down"
"SPACA6",9.29294678420499e-08,-8.05025141681731,0,0.011,0.00455196412330713,"down"
"FKBP1A",9.29294695899994e-08,-8.11179085798385,0,0.011,0.00455196420892694,"down"
"AC026202.2",9.29294695899994e-08,-7.51618038641753,0,0.011,0.00455196420892694,"down"
"AC077690.1",9.29294695899994e-08,-7.98221540984899,0,0.011,0.00455196420892694,"down"
"TASOR",9.29294695899994e-08,-7.96635274804972,0,0.011,0.00455196420892694,"down"
