"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","threshold"
"AC002429.2",1.72007487462297e-42,-11.5371161354096,0,0.069,8.42544275836569e-38,"down"
"PLSCR1",2.65379759806623e-42,-2.02745823269449,0.027,0.124,1.29990967746078e-37,"down"
"RP11-444D3.1",3.74663032294253e-42,0.675484391526628,0.571,0.441,1.83521193108694e-37,"ns"
"MT1X",8.04691116339011e-42,-11.507732610411,0,0.068,3.94161849516338e-37,"down"
"PCDH9",1.1771566244756e-41,0.273437806136475,0.992,0.978,5.76606629366884e-37,"ns"
"AC074363.1",4.05162108701454e-41,0.649799741635537,0.614,0.484,1.98460555705233e-36,"ns"
"MTATP6P1",6.58028908516639e-41,1.80579135164933,0.209,0.098,3.22322300258705e-36,"up"
"DANT2",1.75151269712806e-40,-10.8592564913592,0,0.066,8.57943464434237e-36,"down"
"GABRB1",1.76829392639593e-40,0.489891301701091,0.784,0.69,8.66163413966518e-36,"ns"
"LSAMP",2.85178162540477e-40,0.199498723473509,0.997,0.992,1.39688819357202e-35,"ns"
"GAREM1",8.15102502609656e-39,-10.8395292786691,0,0.063,3.99261658853288e-34,"down"
"HES5",1.19453575540008e-37,1.80662305839899,0.17,0.07,5.85119449067621e-33,"up"
"CCL2",4.06955357113136e-37,-3.95490253288551,0.005,0.072,1.99338942574728e-32,"down"
"GPX4",4.18676617429945e-37,-1.63746388698856,0.033,0.127,2.0508036751571e-32,"down"
"HILPDA",5.49742422512825e-37,-11.2602324074532,0,0.06,2.69280330819457e-32,"down"
"NTRK2",6.74839475648893e-37,0.360996999573047,0.849,0.784,3.30556620357097e-32,"ns"
"GFAP",1.02198979093424e-36,-1.01147937160919,0.207,0.353,5.00601259293321e-32,"down"
"TCF25",1.12376019004834e-36,-1.15476640066829,0.09,0.213,5.50451453891376e-32,"down"
"AL137139.2",1.18050097561921e-36,-10.9492553399158,0,0.059,5.78244792887559e-32,"down"
"MT-ND4",1.18428614869731e-36,0.889843330998219,0.57,0.467,5.80098884216405e-32,"ns"
"CCK",3.61373994481487e-36,-1.66835572427949,0.073,0.184,1.77011823716867e-31,"down"
"ZFYVE28",4.84666315849746e-36,-1.26523862263419,0.141,0.27,2.37404101492681e-31,"down"
"PEBP1",2.1754056043213e-35,-0.977115726248876,0.153,0.293,1.0655789271647e-30,"ns"
"AL109809.5",2.4990579363386e-35,-10.6211605686049,0,0.057,1.22411354895674e-30,"down"
"ARHGEF3",4.38718097063814e-35,-1.34519028597215,0.072,0.182,2.14897285484768e-30,"down"
"SLC39A14",5.71833885734466e-35,-1.74826704753467,0.039,0.132,2.80101392249313e-30,"down"
"RNF219-AS1",2.33510624925198e-34,0.357655746845189,0.823,0.671,1.1438050940711e-29,"ns"
"STMN1",2.64310618071004e-34,-1.10849652803268,0.133,0.263,1.2946727004972e-29,"down"
"HSPB1",5.18397428144094e-34,1.53052891262756,0.203,0.102,2.53926612227821e-29,"up"
"AC114971.1",5.25338966762254e-34,-10.9577783513441,0,0.055,2.57326786089155e-29,"down"
"SNHG25",5.25338966762254e-34,-10.6294656282492,0,0.055,2.57326786089155e-29,"down"
"LHFPL6",5.25338987049447e-34,-10.6550907773117,0,0.055,2.57326796026431e-29,"down"
"ZFP36",8.05044176131499e-34,-1.49274591014253,0.039,0.13,3.94334788794492e-29,"down"
"CD44",1.65359063969636e-33,-2.02133625828453,0.023,0.101,8.09978303042468e-29,"down"
"IFITM3",2.751132496107e-33,-1.31583616518555,0.085,0.195,1.34758723056809e-28,"down"
"TUT4",1.60263801752443e-32,-10.393044545772,0,0.053,7.85020180123993e-28,"down"
"LRRC16A",1.70830629598569e-32,0.479178768173606,0.674,0.558,8.3677967296267e-28,"ns"
"APOD",2.73513062809879e-32,-1.93155421481118,0.018,0.092,1.33974903556163e-27,"down"
"FOS",5.02880526103872e-32,1.90323276288151,0.232,0.135,2.4632596810146e-27,"up"
"CDH20",6.99941712833555e-32,0.461792128256867,0.755,0.676,3.4285244919726e-27,"ns"
"MTSS2",1.55718119832334e-31,-10.6313494057239,0,0.051,7.62754066374722e-27,"down"
"TPST1",1.95981325731304e-31,-1.29433449530639,0.165,0.282,9.59975327829647e-27,"down"
"SLC14A1",2.33178795483507e-31,1.45665459397367,0.244,0.142,1.14217969391686e-26,"up"
"LUC7L2",3.32000156991796e-31,-10.3160571255586,0,0.05,1.62623636899291e-26,"down"
"BCYRN1",7.30223489106558e-31,0.593546389673249,0.447,0.324,3.57685371669065e-26,"ns"
"AC002460.2",1.03274591529063e-30,-10.591783983875,0,0.05,5.05869931686811e-26,"down"
"MSMO1",1.35229604847471e-30,-0.854653481791683,0.13,0.253,6.62395173424366e-26,"ns"
"MROH7",1.8484748574193e-30,-8.13602640506719,0,0.05,9.05438439409693e-26,"down"
"CRISPLD1",3.07380870409905e-30,-2.51852683251666,0.014,0.079,1.50564371752884e-25,"down"
"PRDM16-DT",3.20950818948673e-30,-10.3518906530683,0,0.049,1.57211339645629e-25,"down"
"NKAIN3",4.22469963404625e-30,0.316127516132372,0.846,0.77,2.06938462174487e-25,"ns"
"AC073475.1",4.68269681248506e-30,-10.5508254794327,0,0.048,2.29372537965956e-25,"down"
"ATP5ME",6.83137982598807e-30,-10.3624597074522,0,0.048,3.34621478016373e-25,"down"
"ALDOC",6.8313799569606e-30,-10.2617944973388,0,0.048,3.34621484431801e-25,"down"
"TMSB10",8.88835156123584e-30,-0.967211630778506,0.239,0.375,4.35378124524015e-25,"ns"
"NGFRAP1",9.62255532541237e-30,-1.05059924786719,0.099,0.21,4.71341627504674e-25,"down"
"MATN2",1.66120874214199e-29,-2.7692255869037,0.015,0.079,8.13709878163413e-25,"down"
"ELL2",1.82857899543518e-29,-1.59326757556992,0.063,0.155,8.95692849334012e-25,"down"
"CALN1",2.59432914526926e-29,-0.675218400343945,0.219,0.359,1.27078024522724e-24,"ns"
"GMDS-DT",3.0910606205393e-29,-10.2515027972452,0,0.047,1.51409422375877e-24,"down"
"AOPEP",3.09106067973604e-29,-10.2454969867353,0,0.047,1.51409425275511e-24,"down"
"BEX1",3.30870733065914e-29,-1.4761791794792,0.054,0.143,1.62070411177677e-24,"down"
"AC053513.1",4.50707820349667e-29,-10.5948668465031,0,0.047,2.20770211641877e-24,"down"
"AL139260.1",6.57110078774432e-29,-10.657409503537,0,0.047,3.2187222988608e-24,"down"
"AC087854.1",6.57110078774432e-29,-10.4373104399855,0,0.047,3.2187222988608e-24,"down"
"LINC02649",2.96596024125415e-28,-10.2580906527917,0,0.045,1.45281630497352e-23,"down"
"PANTR1",2.96596058149864e-28,-10.280313198149,0,0.045,1.45281647163548e-23,"down"
"LINC00969",4.27808983142159e-28,1.06962865637818,0.276,0.174,2.09553674212524e-23,"up"
"CDC37",6.04211631119906e-28,-0.883009041930564,0.079,0.18,2.95960983271463e-23,"ns"
"ANGPTL4",7.11482367846155e-28,-1.2119442218426,0.167,0.289,3.48505408242082e-23,"down"
"YTHDF1",8.42151331023941e-28,-1.43897982864302,0.037,0.115,4.12510986475457e-23,"down"
"RPL41",1.28056261420972e-27,-4.22574874893903,0.005,0.057,6.27257985318347e-23,"down"
"GNA14-AS1",1.3360424214689e-27,-1.60265834031566,0.132,0.234,6.54433659308111e-23,"down"
"FXYD1",2.49828002642506e-27,-6.91439988797584,0,0.045,1.22373250534379e-22,"down"
"MIR100HG",2.57128320709638e-27,-1.74855790318211,0.063,0.15,1.25949165333202e-22,"down"
"SFXN5",3.07299978156314e-27,0.398050549490775,0.739,0.674,1.50524748300307e-22,"ns"
"ZFP36L1",3.91087726065114e-27,1.26309813245679,0.332,0.237,1.91566500858475e-22,"up"
"ADGRA3",4.12945191797181e-27,-10.1496879262407,0,0.044,2.02272943298013e-22,"down"
"GASK1A",8.75546995890929e-27,-10.1479827410589,0,0.043,4.28869184997254e-22,"down"
"AC087564.1",8.75547029289542e-27,-10.3838716597624,0,0.043,4.28869201356896e-22,"down"
"AC091826.2",1.27470073882364e-26,-10.304292761921,0,0.043,6.24386662897983e-22,"down"
"CTSD",1.59512701052389e-26,-7.46671140765532,0,0.044,7.81341063564918e-22,"down"
"OGA",1.85564112820093e-26,-10.1476392376174,0,0.042,9.08948693826663e-22,"down"
"MT-CO2",2.21981634698482e-26,0.724465651867891,0.516,0.417,1.08733264124358e-21,"ns"
"MIR4300HG",3.93130696359224e-26,-10.57002926646,0,0.042,1.92567208997639e-21,"down"
"PFKFB3",4.60334811382921e-26,-0.77528446682989,0.175,0.298,2.25485800659696e-21,"ns"
"GRAMD3",5.03708231473166e-26,0.574339678318509,0.518,0.418,2.46731403022501e-21,"ns"
"AC007389.1",5.7212955440235e-26,-10.2053677364603,0,0.042,2.80246219632903e-21,"down"
"RP5-857K21.6",6.84012810159306e-26,-4.30081580558571,0.003,0.048,3.35049994800333e-21,"down"
"LRP1B",1.64184827927614e-25,0.269712860358785,0.952,0.923,8.04226542637832e-21,"ns"
"IPO9-AS1",2.17489542629976e-25,-0.911914394296909,0.098,0.197,1.06532902666441e-20,"ns"
"CIRBP",2.82961981763016e-25,-0.443853687597127,0.317,0.479,1.38603267526978e-20,"ns"
"CCDC18-AS1",3.72946758281602e-25,-10.0162212853033,0,0.04,1.82680510609077e-20,"down"
"VAMP2",5.42439403462246e-25,-10.0745337112285,0,0.04,2.65703092997912e-20,"down"
"LINC01748",7.88885588050543e-25,-10.0874703836484,0,0.04,3.86419827594797e-20,"down"
"BAALC-AS1",1.00186951168722e-24,-1.34267097729565,0.069,0.155,4.90745742909752e-20,"down"
"TENT2",1.66807355760614e-24,-9.9023217035649,0,0.039,8.17072470722218e-20,"down"
"PPAP2B",1.79477209437338e-24,0.594950686545574,0.509,0.417,8.79133214986914e-20,"ns"
"MEIKIN",2.42523513193547e-24,-10.105143670597,0,0.039,1.18795292467595e-19,"down"
"LINC00472",2.51092485423661e-24,-3.73017595306886,0.005,0.051,1.22992632135072e-19,"down"
"YWHAH",3.33316307793507e-24,-1.16246818488137,0.083,0.173,1.63268327046493e-19,"down"
"AC007969.5",3.46390886134316e-24,-0.973538395737487,0.085,0.178,1.69672647755172e-19,"ns"
"PTMAP2",4.61176271671147e-24,-1.88207811880948,0.015,0.07,2.25897973152678e-19,"down"
"AL392086.3",5.12516798618456e-24,-10.0326597583956,0,0.038,2.51046103467278e-19,"down"
"AFDN",7.4494466989028e-24,-9.93860579571422,0,0.038,3.64896247652356e-19,"down"
"SOCS3",1.04791921402758e-23,-3.28578873768397,0.003,0.045,5.1330226860713e-19,"down"
"HHATL",1.08267809874599e-23,-10.0523584215334,0,0.038,5.30328213108747e-19,"down"
"CLIC4",1.32374933091414e-23,-0.964165310497307,0.056,0.137,6.48412134761674e-19,"ns"
"ECPAS",1.57338238608017e-23,-9.90346879085137,0,0.038,7.7068989417365e-19,"down"
"PCP4",1.90629320457028e-23,-1.60675748025938,0.033,0.1,9.33759600394661e-19,"down"
"PLOD2",2.07982229270979e-23,-0.950957417535209,0.147,0.253,1.01875935363804e-18,"ns"
"DUSP1",2.17510752744407e-23,2.29356305555025,0.071,0.02,1.06543292016793e-18,"up"
"PFKP",2.2302517855893e-23,-1.11186527706639,0.087,0.176,1.09244423213521e-18,"down"
"SERPINA3",3.32187685983994e-23,-10.3337368274792,0,0.037,1.6271549422554e-18,"down"
"MIR99AHG",3.48389326899121e-23,0.239716418192391,0.91,0.851,1.70651543994996e-18,"ns"
"SLC7A11",3.71507366181244e-23,0.647857410152253,0.493,0.411,1.81975453176559e-18,"ns"
"ERBB4",8.33323187968427e-23,0.292444385954824,0.909,0.868,4.08186697162575e-18,"ns"
"RORA",8.80082737890095e-23,0.233245320311473,0.949,0.924,4.31090927500705e-18,"ns"
"AP002336.2",1.01837716293803e-22,-9.7938103980991,0,0.036,4.98831685721935e-18,"down"
"PCNX1",1.0183772594337e-22,-9.83333727296368,0,0.036,4.98831732988411e-18,"down"
"XIRP2",1.46437105777013e-22,-1.65093705132804,0.015,0.067,7.17292875227541e-18,"down"
"BABAM2",1.47912465667e-22,-9.74624779305978,0,0.036,7.24519630576664e-18,"down"
"SULF1",2.10826685130003e-22,-1.86230422868106,0.01,0.058,1.03269235177229e-17,"down"
"SELENOW",2.14813589087927e-22,-9.78659940794881,0,0.036,1.05222140342939e-17,"down"
"LDLR",2.38028530806029e-22,-1.03317078541108,0.067,0.148,1.16593515244717e-17,"down"
"LINC01158",3.11264775892246e-22,0.808833790803109,0.337,0.245,1.52466825175299e-17,"ns"
"C4orf19",3.3011163319625e-22,-0.662852785708772,0.181,0.292,1.61698581288519e-17,"ns"
"TMBIM1",3.44865517585943e-22,-0.958037241952188,0.057,0.134,1.68925476479122e-17,"ns"
"MRTFB",6.57657341592479e-22,-9.77257369902213,0,0.035,3.22140295632244e-17,"down"
"FAS",1.04976804243437e-21,-1.51818788016651,0.021,0.076,5.14207880225626e-17,"down"
"AC097518.2",2.01183616630712e-21,-9.97186733200345,0,0.034,9.85457709342216e-17,"down"
"ANKHD1",2.01183628046572e-21,-9.68172764162129,0,0.034,9.85457765260523e-17,"down"
"ITPKC",2.64905815424595e-21,-1.24618976380812,0.036,0.1,1.29758815569429e-16,"down"
"ATP6V0C",2.91998915245525e-21,-9.72487417907782,0,0.034,1.43029828654716e-16,"down"
"EIF4A1",4.23772175910227e-21,-9.75388343061038,0,0.033,2.07576324926107e-16,"down"
"DLC1",5.13212975929294e-21,0.537001973383773,0.554,0.482,2.51387111999446e-16,"ns"
"MTND1P23",5.21621133565373e-21,-2.42365408404408,0.008,0.052,2.55505679854327e-16,"down"
"ZIC1",5.42504402986238e-21,-1.04741332479978,0.111,0.201,2.65734931714749e-16,"down"
"KDM4C",5.72836659059482e-21,-3.27098497083399,0.009,0.053,2.80592580707106e-16,"down"
"HDHD3",6.97055544501934e-21,-1.01962293705551,0.038,0.103,3.41438717363382e-16,"down"
"RNMT",7.13919486200815e-21,-0.901334628964118,0.103,0.192,3.49699181925745e-16,"ns"
"SEPTIN8",8.92325570420514e-21,-9.74147532822333,0,0.033,4.3708783415908e-16,"down"
"RP11-179A16.1",1.02777029114795e-20,-0.804456986337029,0.158,0.26,5.03432721712999e-16,"ns"
"ATPIF1",1.18358991873899e-20,-1.2158394785332,0.053,0.124,5.79757849895919e-16,"down"
"AC008957.2",1.87830984748191e-20,-9.63561044048142,0,0.032,9.20052512592064e-16,"down"
"PPP2R2B",2.2905908231572e-20,0.247173450764218,0.887,0.848,1.12200010290709e-15,"ns"
"AC009041.2",2.72480059597827e-20,-9.76267317733534,0,0.032,1.33468907592804e-15,"down"
"RP11-517I3.2",3.30599889576148e-20,1.03751142249113,0.233,0.153,1.61937743911084e-15,"up"
"PLP1",3.36342456013502e-20,-1.09065936568322,0.043,0.109,1.64750625229094e-15,"down"
"GAPDH",3.54141215890018e-20,-0.497147419243133,0.398,0.524,1.73468991779407e-15,"ns"
"SEPTIN11",3.95244870107956e-20,-9.56805424247809,0,0.032,1.9360279472498e-15,"down"
"NDUFA4",4.46808501539112e-20,-0.920615463524961,0.13,0.221,2.18860208308903e-15,"ns"
"DNAJB1",5.20595718962201e-20,1.46537524472041,0.139,0.072,2.55003401019255e-15,"up"
"SPATA13",5.73273689246279e-20,-9.57990068463866,0,0.032,2.80806651203505e-15,"down"
"RABGEF1",6.13017441860091e-20,-3.61735050420182,0.006,0.045,3.00274333546328e-15,"down"
"AC105402.4",8.19196414643748e-20,-2.30693199830643,0.009,0.051,4.01266979784947e-15,"down"
"CPLANE1",8.31423576846867e-20,-9.45263279422217,0,0.031,4.07256210646901e-15,"down"
"AC098829.1",8.31423608227229e-20,-9.79518834688657,0,0.031,4.07256226017944e-15,"down"
"GRM3",1.03817155048029e-19,0.368815308198464,0.691,0.62,5.0852757057176e-15,"ns"
"AC046134.2",1.20572273355684e-19,-9.59830497456354,0,0.031,5.90599166578149e-15,"down"
"GARS-DT",1.20572284730071e-19,-9.46424325131314,0,0.031,5.90599222293307e-15,"down"
"NSD3",1.20572291554703e-19,-9.54855081764311,0,0.031,5.905992557224e-15,"down"
"PARK2",1.32768623238153e-19,0.458863202189047,0.567,0.488,6.50340547207444e-15,"ns"
"HINT1",1.35829369151479e-19,-1.19818473783017,0.07,0.143,6.65332998914691e-15,"down"
"NHSL1",1.72690209414405e-19,0.407978973874525,0.624,0.549,8.4588845277458e-15,"ns"
"AF117829.1",1.74838797076364e-19,-9.74865363994894,0,0.031,8.56412879719152e-15,"down"
"GPR75-ASB3.1",1.80223952906683e-19,0.687081636616483,0.371,0.285,8.82790988522805e-15,"ns"
"PDE8B",2.13114989685204e-19,-0.976635390204651,0.078,0.155,1.04390115397503e-14,"ns"
"NRDC",2.53509071887956e-19,-9.41653315861488,0,0.03,1.24176348682878e-14,"down"
"PLPP1",3.67548716460238e-19,-9.58191523685322,0,0.03,1.80036387783718e-14,"down"
"AIFM3",4.10051320055142e-19,-3.70968245656692,0.005,0.041,2.0085543810261e-14,"down"
"FAM19A1",4.12532572445445e-19,0.689007505955053,0.369,0.284,2.02070829960952e-14,"ns"
"SHC1",4.6678770428609e-19,-6.70923256837711,0,0.031,2.28646621190455e-14,"down"
"AL160272.1",5.32846795367557e-19,-9.68869082766592,0,0.03,2.6100434577489e-14,"down"
"SEPTIN2",5.32846825501897e-19,-9.55686741228442,0,0.03,2.61004360535594e-14,"down"
"HACD3",5.32846835546684e-19,-9.66286799699039,0,0.03,2.61004365455832e-14,"down"
"TMEM14B",5.32846855636239e-19,-9.51409915692847,0,0.03,2.61004375296299e-14,"down"
"AKAP9",5.44075642452214e-19,-0.53384212190187,0.226,0.339,2.66504571942368e-14,"ns"
"CTC-498M16.4",5.58410667551881e-19,0.833873192850632,0.321,0.243,2.73526297286938e-14,"ns"
"MT-CO3",5.74427631398658e-19,0.584277805259844,0.605,0.545,2.81371886688005e-14,"ns"
"RPL8",5.94279412429053e-19,-0.933274668152341,0.052,0.119,2.91095884590123e-14,"ns"
"STX16",6.11278286787945e-19,-4.88531979539116,0.001,0.032,2.99422443217339e-14,"down"
"GFRA1",8.31138953426173e-19,-2.02979396317049,0.018,0.066,4.07116793556742e-14,"down"
"ZNF350-AS1",9.27014207740949e-19,-0.936954359802149,0.052,0.119,4.54079369377749e-14,"ns"
"METRN",1.11963546318009e-18,-9.6307640378197,0,0.029,5.48431038929504e-14,"down"
"ANOS1",1.11963546318009e-18,-9.49501449909965,0,0.029,5.48431038929504e-14,"down"
"PDE4D",2.33222815719769e-18,0.337103288656253,0.692,0.625,1.14239531824014e-13,"ns"
"COP1",2.35190051422228e-18,-9.47431258647132,0,0.029,1.1520314288815e-13,"down"
"DAB2IP",2.4330313212372e-18,-0.885616735630047,0.063,0.134,1.19177173208162e-13,"ns"
"RP11-611E13.2",2.44626015491996e-18,1.12077123191835,0.204,0.13,1.19825161168444e-13,"up"
"NPDC1",2.85817303328551e-18,-3.34477493218425,0.005,0.039,1.40001889689424e-13,"down"
"YBX3",3.1911776995041e-18,-0.842939382792183,0.04,0.101,1.56313457254809e-13,"ns"
"UCHL1",3.37293270142732e-18,-1.05583493535154,0.066,0.136,1.65216362514014e-13,"down"
"AL391807.1",3.40832840800481e-18,-9.49937322547856,0,0.029,1.669501504093e-13,"down"
"TCEAL2",3.71297069986199e-18,-1.54848974163054,0.018,0.065,1.8187244379134e-13,"down"
"GADD45B",3.71324207198163e-18,-0.756053124919265,0.073,0.147,1.81885736411876e-13,"ns"
"STMN2",4.23962670123915e-18,-1.16838655211434,0.065,0.133,2.07669634706797e-13,"down"
"FNIP1",4.31349724477839e-18,-6.98750248289051,0,0.029,2.1128803554098e-13,"down"
"AC011346.1",4.93891987457366e-18,-9.55789708945274,0,0.028,2.41923112216242e-13,"down"
"OSMR",5.34201897894608e-18,-1.20324323514229,0.035,0.092,2.61668115645716e-13,"down"
"TSC22D4",6.13287280752799e-18,-0.39378012571536,0.179,0.287,3.00406508731144e-13,"ns"
"ARL6IP1",6.15208974494234e-18,-6.04111643954927,0.001,0.031,3.01347811976511e-13,"down"
"NPAS4",6.5346786858934e-18,4.64312289740558,0.023,0.001,3.20088166071116e-13,"up"
"GAP43",7.08805063053295e-18,-1.2350441863186,0.056,0.121,3.47193984035396e-13,"down"
"NIPSNAP2",7.15633982222277e-18,-9.4572877287954,0,0.028,3.50538993511938e-13,"down"
"RBPMS",9.02046771000816e-18,-1.00652998371351,0.04,0.098,4.4184956983933e-13,"down"
"JAK1",9.99559963634852e-18,-0.855604051769596,0.116,0.199,4.8961445698726e-13,"ns"
"MIF",1.03685660041062e-17,-9.46860968627735,0,0.028,5.07883468579136e-13,"down"
"ATP5F1E",1.03685665895369e-17,-9.42526308066823,0,0.028,5.07883497255285e-13,"down"
"TANC1",1.33392902911782e-17,-1.09887363150808,0.055,0.119,6.53398456332784e-13,"down"
"NDUFB2",1.47674495718657e-17,-1.05568262773123,0.074,0.144,7.23353982378698e-13,"down"
"LINC01578",1.50215821457758e-17,-9.38018873416383,0,0.027,7.35802158246534e-13,"down"
"NDUFB11",1.61316185002042e-17,-1.19881845768146,0.028,0.079,7.90175068995503e-13,"down"
"EMP1",1.72558301951222e-17,-2.38006981664157,0.012,0.053,8.45242330447671e-13,"down"
"SNHG9",1.93384869670648e-17,-1.06769353393881,0.048,0.109,9.47257107107733e-13,"down"
"GBP1",1.98984979533557e-17,-2.38321939033621,0.006,0.041,9.7468812524922e-13,"down"
"CFL1",2.04935306362202e-17,-0.769963668074148,0.1,0.18,1.00383461115397e-12,"ns"
"PGK1",2.10346546738528e-17,-0.903243446191169,0.074,0.145,1.03034048988933e-12,"ns"
"GNG3",2.30783259360786e-17,-1.37491517899001,0.045,0.104,1.13044563932694e-12,"down"
"MRVI1",2.3467018350432e-17,-0.847544667126912,0.167,0.257,1.14948495985921e-12,"ns"
"NDUFA13",3.08668312077106e-17,-2.58557636216065,0.008,0.045,1.51194999304729e-12,"down"
"AC053527.2",3.15223593996227e-17,-9.44155545726097,0,0.027,1.54405973047172e-12,"down"
"DGLUCY",3.1522362957236e-17,-9.36952066170229,0,0.027,1.54405990473429e-12,"down"
"CADM2",3.4400927709793e-17,0.18894890938306,0.947,0.919,1.68506064200879e-12,"ns"
"PPP3R1",4.5658931303511e-17,-9.34136127629279,0,0.027,2.23651143203988e-12,"down"
"SOX2",4.5658931303511e-17,-9.39800024095654,0,0.027,2.23651143203988e-12,"down"
"ANKRD12",4.72733990361532e-17,-0.755922382580831,0.153,0.241,2.31559290498789e-12,"ns"
"TCF4",5.07512392447315e-17,0.374214225469801,0.65,0.592,2.48594795192468e-12,"ns"
"SIRPB3P",5.7227763819617e-17,1.22134641579345,0.125,0.066,2.8031875551763e-12,"up"
"AC099792.1",6.61307691943787e-17,-9.39446210490104,0,0.026,3.23928346744825e-12,"down"
"NORAD",6.61307716813084e-17,-9.44159950371506,0,0.026,3.23928358926553e-12,"down"
"GABARAPL2",6.97816916908845e-17,-1.23208080472287,0.045,0.102,3.41811660409459e-12,"down"
"MTND2P28",7.09983110527287e-17,2.91434332327606,0.031,0.005,3.47771027029581e-12,"up"
"ATF7",9.57751266588969e-17,-9.25649960697978,0,0.026,4.69135302913274e-12,"down"
"LINC00513",9.57751302599954e-17,-9.24438062740288,0,0.026,4.69135320552535e-12,"down"
"TMEM94",9.57751302599954e-17,-9.36971179035763,0,0.026,4.69135320552535e-12,"down"
"HSD17B7",9.65207815011961e-17,-0.938274620997355,0.048,0.108,4.72787744027309e-12,"ns"
"AC078842.4",1.00467892485646e-16,-1.50485691734628,0.016,0.059,4.92121877762442e-12,"down"
"LMO3",1.07383040688205e-16,0.500199565312323,0.428,0.343,5.25994348203037e-12,"ns"
"SAT2",1.12095195053648e-16,-0.615428031717483,0.103,0.183,5.49075893931284e-12,"ns"
"TAFA5",1.38699100960274e-16,-9.32542835382458,0,0.026,6.79389806233712e-12,"down"
"ARMH4",1.38699106174378e-16,-9.28423202258801,0,0.026,6.79389831773955e-12,"down"
"HSP90AA1",1.50344416882353e-16,0.594032396506611,0.444,0.387,7.36432057214831e-12,"ns"
"FOSB",1.75107649838563e-16,2.67725047688468,0.037,0.008,8.57729801204233e-12,"up"
"AC106845.1",2.00847685911117e-16,-9.3112188655913,0,0.026,9.83812219898423e-12,"down"
"PWWP3A",2.00847685911117e-16,-9.25925112511459,0,0.026,9.83812219898423e-12,"down"
"BEX3",2.00847693460261e-16,-9.32290232382976,0,0.026,9.83812256876397e-12,"down"
"C1RL",2.06385081894334e-16,-1.37083742624113,0.015,0.057,1.01093604664302e-11,"down"
"CALM3",2.41684706323622e-16,-0.803193967153152,0.115,0.194,1.183844196985e-11,"ns"
"SST",2.58911417921171e-16,-1.77719456076478,0.011,0.048,1.26822579840327e-11,"down"
"NAV2",2.59585136189616e-16,-0.415142623043907,0.473,0.576,1.2715258725976e-11,"ns"
"RP11-679C8.2",2.76311874071529e-16,0.706334477578591,0.299,0.222,1.35345845276457e-11,"ns"
"NCAM1",3.16686358894136e-16,0.291565311321879,0.693,0.639,1.55122479177115e-11,"ns"
"RAB3A",3.36241695465137e-16,-1.25751607478852,0.038,0.092,1.64701269689688e-11,"down"
"QTRT1",3.37437641632556e-16,-0.543519625996438,0.114,0.197,1.65287080000875e-11,"ns"
"EGR1",3.99353208531253e-16,1.46164572026141,0.077,0.032,1.95615182134864e-11,"up"
"WASHC1",4.21087073616378e-16,-9.28469191819566,0,0.025,2.0626108126951e-11,"down"
"ADM",4.29192387008699e-16,-2.54820663327682,0.006,0.039,2.10231306928471e-11,"down"
"ABCD4",4.29583452370705e-16,-0.974525413310962,0.07,0.135,2.10422862474742e-11,"ns"
"RPL28",4.31589232584708e-16,-0.649775378621934,0.092,0.167,2.11405353796967e-11,"ns"
"FSTL5",4.9335170864222e-16,-0.574441482910592,0.098,0.175,2.41658467444219e-11,"ns"
"MARCH3",5.70552418481172e-16,-0.779786307395448,0.104,0.179,2.79473691144633e-11,"ns"
"GATD1",6.0965603394979e-16,-9.17840593361012,0,0.025,2.98627815109625e-11,"down"
"MICALL2",6.88077739938891e-16,-0.485576573753253,0.176,0.272,3.37041119354267e-11,"ns"
"MT-ND1",7.94798646897059e-16,0.709411667929351,0.342,0.266,3.89316221209586e-11,"ns"
"HLA-E",8.04816537345436e-16,-1.25714434179059,0.03,0.079,3.94223284487915e-11,"down"
"SNAP25",8.23310628888503e-16,-0.622605156737313,0.269,0.367,4.03282245348456e-11,"ns"
"PML",8.76565241591184e-16,-1.08016299250373,0.032,0.082,4.2936795228861e-11,"down"
"ATP5F1B",8.82616616766221e-16,-9.04908642285192,0,0.024,4.32332097390598e-11,"down"
"LARGE1",8.82616633342482e-16,-9.18947627968715,0,0.024,4.32332105510148e-11,"down"
"NDUFB7",1.16986251776674e-15,-0.942051007748453,0.049,0.107,5.73033757077684e-11,"ns"
"TNIK",1.17807320513372e-15,0.238725984498412,0.851,0.8,5.77055598070652e-11,"ns"
"DOP1A",1.27771553186249e-15,-9.11539675242133,0,0.024,6.25863398972205e-11,"down"
"CERS1",1.27771557984811e-15,-9.20476288965073,0,0.024,6.25863422476998e-11,"down"
"MRTFA",1.27771562783371e-15,-9.07803386492806,0,0.024,6.25863445981788e-11,"down"
"MAP3K6",1.44015718552046e-15,-2.08430524702924,0.01,0.046,7.05432194183489e-11,"down"
"EIF1",1.54112027914562e-15,-0.532637789343919,0.128,0.211,7.54886946333897e-11,"ns"
"RASD1",1.57186489187673e-15,-1.59689947848071,0.017,0.057,7.69946579987977e-11,"down"
"C10orf10",1.61147956892191e-15,-3.6906075628588,0.002,0.029,7.89351037245018e-11,"down"
"PPDPF",1.62741406892098e-15,-1.26847179871908,0.028,0.076,7.97156233379564e-11,"down"
"LRIG1",1.65053029989149e-15,-0.406064844261191,0.375,0.483,8.08479256795847e-11,"ns"
