"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","threshold"
"TRIM47",1.20056790792994e-08,-1.01048836015654,0.058,0.1,0.000588074178341324,"down"
"ZNF462",1.26397522704063e-08,0.303491923542219,0.315,0.246,0.00061913298546131,"ns"
"RNASEK",1.28006861465658e-08,-3.39529588390532,0.004,0.022,0.000627016009517231,"down"
"RP11-115J16.2",1.29963770058925e-08,1.3387275375945,0.055,0.027,0.000636601534879632,"up"
"SNAP25",1.39781238755166e-08,-0.666585891180546,0.315,0.367,0.000684690441794432,"ns"
"MAP4K5",1.40010586760298e-08,0.27466960099963,0.327,0.256,0.000685813857127968,"ns"
"GLIS3",1.41651398645604e-08,0.105239712851503,0.716,0.634,0.00069385104598576,"ns"
"FHIT",1.45627520497202e-08,0.201949283009887,0.718,0.651,0.000713327283651443,"ns"
"ITPRID2",1.47030441110843e-08,-8.17420063770456,0,0.014,0.000720199209693243,"down"
"MICOS10",1.47030443798025e-08,-8.02136553922852,0,0.014,0.000720199222855866,"down"
"SGO1-AS1",1.47030443798025e-08,-8.40327479989209,0,0.014,0.000720199222855866,"down"
"HAGHL",1.47030446485208e-08,-8.18550446077055,0,0.014,0.000720199236018492,"down"
"ATP5PF",1.47030446485208e-08,-8.27892576454631,0,0.014,0.000720199236018492,"down"
"SESN3",1.48523415901784e-08,0.282777481710215,0.281,0.215,0.000727512248111708,"ns"
"ZNF516",1.52389676811907e-08,0.317567981328349,0.222,0.162,0.000746450353927762,"ns"
"NFE2L2",1.53196155295872e-08,0.343212870358863,0.29,0.226,0.00075040072748577,"ns"
"LL22NC03-2H8.5",1.56988318353048e-08,0.668563378418582,0.077,0.042,0.000768975879788733,"ns"
"ATP11A",1.59037758373508e-08,-0.952646794306981,0.06,0.103,0.000779014651840953,"ns"
"LINC01473",1.63512028312198e-08,-1.1416317474792,0.108,0.155,0.00080093096828164,"down"
"RP5-857K21.4",1.63863236013847e-08,0.753968836784589,0.093,0.055,0.000802651288966626,"ns"
"CTNND2",1.64886701298436e-08,0.119769227723538,0.97,0.935,0.000807664528970131,"ns"
